PrintISSN,EISSN,Title,Titles discontinued by Scopus due to quality issues
16175468,,"Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)",
21954968,21954976,Lecture Notes in Information Systems and Organisation,
18688969,,"Leibniz International Proceedings in Informatics, LIPIcs",
10994742,,LEOS Summer Topical Meeting,
,,"Light Metals: Proceedings of Sessions, AIME Annual Meeting (Warrendale, Pennsylvania)",
,2261236X,MATEC Web of Conferences,Discontinued by Scopus
24743941,2474395X,Materials Research Proceedings,
2729172,,Materials Research Society Symposium - Proceedings,
,22147853,Materials Today: Proceedings,
,,"Mathematical Methods in Electromagnetic Theory, MMET, Conference Proceedings",
15483746,,Midwest Symposium on Circuits and Systems,
,,"National Radio Science Conference, NRSC, Proceedings",
26947854,,New Trends in Civil Aviation,
1048776X,,NIST Special Publication,
,,NPRA Annual Meeting Papers,
,,NPRA Computer Conference Papers,
,,NPRA Environmental Conference Papers,
,,NPRA International Petrochemical Conference Papers,
,,NPRA National Safety Conference Papers,
1620770,,NPRA Question and Answer Session on Refining and Petrochemical Technology,
1977385,,Oceans Conference Record (IEEE),
,,Offshore Europe Conference - Proceedings,
,25107240,Optical Characterization of Materials,
,,"Pacific Rim Conference on Lasers and Electro-Optics, CLEO - Technical Digest",
,,"Parallel and Distributed Computing, Applications and Technologies, PDCAT Proceedings",
1089795X,,"Parallel Architectures and Compilation Techniques - Conference Proceedings, PACT",
2759306,,PESC Record - IEEE Annual Power Electronics Specialists Conference,
16101634,,Physica Status Solidi C: Conferences,
18753884,18753892,Physics Procedia,
,,PIRA International Conference Proceedings,
,,Portland International Conference on Management of Engineering and Technology,
18770428,,Procedia - Social and Behavioral Sciences,
18766196,,Procedia Chemistry,
22128271,,Procedia CIRP,
,18770509,Procedia Computer Science,
18785220,,Procedia Earth and Planetary Science,
18777058,,Procedia Engineering,
,24523216,Procedia Structural Integrity,
,,Proceeding of the International Conference on Telecommunications,
,,"Proceedings - 2010 International Conference on Intelligent System Design and Engineering Application, ISDEA 2010",
,,Proceedings - Annual Meeting of the Decision Sciences Institute,
,,Proceedings - Annual SAFE Symposium (Survival and Flight Equipment Association),
,,"Proceedings - Annual Stability Conference, Structural Stability Research Council",
,,"Proceedings - Annual Technical Session, Structural Stability Research Council",
5721431,,Proceedings - Conference of the Australian Road Research Board,
5695503,,Proceedings - Electronic Components and Technology Conference,
10683070,,Proceedings - Euromicro Conference on Real-Time Systems,
15394565,,"Proceedings - Frontiers in Education Conference, FIE",
7135424,,Proceedings - Graphics Interface,
7367791,,"Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing",
7303157,,Proceedings - IEEE Computer Society's International Computer Software and Applications Conference,
0743166X,,Proceedings - IEEE INFOCOM,
10636404,,Proceedings - IEEE International Conference on Computer Design: VLSI in Computers and Processors,
10504729,,Proceedings - IEEE International Conference on Robotics and Automation,
2714310,,Proceedings - IEEE International Symposium on Circuits and Systems,
,,Proceedings - IEEE Military Communications Conference,
,,Proceedings - International Air Transportation Conference,
,,Proceedings - International Conference on Data Engineering,
10636927,,Proceedings - International Conference on Distributed Computing Systems,
10514651,,Proceedings - International Conference on Pattern Recognition,
2705257,,Proceedings - International Conference on Software Engineering,
26431394,26431483,Proceedings - International Symposium on Asynchronous Circuits and Systems,
15301346,,Proceedings - International Symposium on Computers and Communications,
10932941,,"Proceedings - International Symposium on Discharges and Electrical Insulation in Vacuum, ISDEIV",
,,Proceedings - International Symposium on Electrets,
10459065,,Proceedings - Rapid Excavation and Tunneling Conference,
,,Proceedings - Real-Time Systems Symposium,
,,Proceedings - SPE Annual Technical Conference and Exhibition,
,,Proceedings - SPE Eastern Regional Conference and Exhibition,
,,Proceedings - SPE International Symposium on Formation Damage Control,
,,Proceedings - SPE Production Operations Symposium,
,,Proceedings - SPE Symposium on Improved Oil Recovery,
,,Proceedings - Symposium on Computer Arithmetic,
,,Proceedings - Symposium on Fusion Engineering,
10436871,,Proceedings - Symposium on Logic in Computer Science,
,,Proceedings - Virtual Reality Annual International Symposium,
8917736,,Proceedings - Winter Simulation Conference,
,,Proceedings ACM SIGUCCS User Services Conference,
,,Proceedings AESF/EPA Conference for Environmental Excellence,
,26955067,Proceedings from the International Congress on Project Management and Engineering,
,,Proceedings of ACM Symposium on Access Control Models and Technologies (SACMAT 2002),
15301052,,"Proceedings of Computer Graphics International Conference, CGI",
,,Proceedings of IEEE Sensors,
