PrintISSN,EISSN,Title,Active or Inactive,Titles discontinued by Scopus due to quality issues,Source Type,Title history indication,Related title 1,Other related title 2,Other related title 3,Other related title 4,Publisher
,26942445,ACS Physical Chemistry Au,Active,,Journal,,,,,,American Chemical Society
,23793694,ACS Sensors,Active,,Journal,,,,,,American Chemical Society
,21680485,ACS Sustainable Chemistry and Engineering,Active,,Journal,,,,,,American Chemical Society
976156,19475918,ACS Symposium Series,Active,,Book Series,,,,,,American Chemical Society
,21615063,ACS Synthetic Biology,Active,,Journal,,,,,,American Chemical Society
10915397,1536593X,ACSM's Health and Fitness Journal,Active,,Journal,,,,,,Lippincott Williams and Wilkins Ltd.
13920316,,Acta Academiae Artium Vilnensis,Active,,Journal,,,,,,Vilniaus dailes akademijos leidykla
1000503X,,Acta Academiae Medicinae Sinicae,Active,,Journal,,,,,,Chinese Academy of Medical Sciences
5872405,,Acta Academica,Active,,Journal,,,,,,Sun Media Corporation
10224793,26814617,Acta Acustica,Active,,Journal,Formerly known as,Acta Acustica united with Acustica,,,,EDP Sciences
650900,,Acta ad Archaeologiam et Artium Historiam Pertinentia,Active,,Book Series,,,,,,Norwegian Institute in Rome
15113,18460453,Acta Adriatica,Active,,Journal,,,,,,Institute of Oceanography and Fisheries
10070435,,Acta Agrestia Sinica,Active,,Journal,,,,,,China Agricultural University
9064702,16511972,Acta Agriculturae Scandinavica - Section A: Animal Science,Active,,Journal,Formerly part of,ACTA AGRIC. SCAND.,,,,Taylor and Francis A.S.
9064710,16511913,Acta Agriculturae Scandinavica - Section B Soil and Plant Science,Active,,Journal,Formerly part of,ACTA AGRIC. SCAND.,,,,Taylor and Francis A.S.
15819175,18541941,Acta Agriculturae Slovenica,Active,,Journal,,,,,,University of Ljubljana
650951,2300357X,Acta Agrobotanica,Active,,Journal,,,,,,Polish Botanical Society
1202812,23230118,Acta Agronomica,Active,,Journal,,,,,,Universidad Nacional de Colombia
4963490,,Acta Agronomica Sinica(China),Active,,Journal,,,,,,Institute of Crop Sciences (ICS)
1393006,15882535,Acta Alimentaria,Active,,Journal,,,,,,Akademiai Kiado
445967,,Acta Amazonica,Active,,Journal,,,,,,Instituto Nacional de Pesquisas da Amazonia
15164,,Acta Anaesthesiologica Belgica,Active,,Journal,,,,,,ARSMB-KVBMG
15172,13996576,Acta Anaesthesiologica Scandinavica,Active,,Journal,,,,,,Blackwell Munksgaard
3535150,18746349,Acta Analytica,Active,,Journal,,,,,,Springer Netherlands
1234950X,16443276,Acta Angiologica,Active,,Journal,,,,,,Via Medica
445975,15882543,Acta Antiqua Academiae Scientiarum Hungaricae,Active,,Journal,,,,,,Akademiai Kiado
1678019,15729036,Acta Applicandae Mathematicae,Active,,Journal,,,,,,Springer Netherlands
15202,,Acta Arachnologica,Active,,Journal,,,,,,Arachnological Society of Japan
15210,15882551,Acta Archaeologica Academiae Scientiarum Hungaricae,Active,,Journal,,,,,,Akademiai Kiado
650986,24510300,Acta Archaeologica Lodziensia,Active,,Journal,,,,,,Lodzkie Towarzystwo Naukowe
651036,17306264,Acta Arithmetica,Active,,Journal,,,,,,Instytut Matematyczny
8606102,24498653,Acta Asiatica Varsoviensia,Active,,Journal,,,,,,Institute of Mediterranean and Oriental Cultures of the Polish Academy of Sciences
945765,,Acta Astronautica,Active,,Journal,Formerly known as,Astronautica Acta,,,,Elsevier Ltd
15237,,Acta Astronomica,Active,,Journal,,,,,,Copernicus Foundation for Polish Astronomy
22282009,22282017,Acta Baltica Historiae et Philosophiae Scientiarum,Active,,Journal,,,,,,Springer International Publishing AG
651044,23922389,Acta Baltico-Slavica,Active,,Journal,,,,,,"Polish Academy of Sciences, Institute of Slavic Studies"
16729145,17457270,Acta Biochimica et Biophysica Sinica,Active,,Journal,,,,,,Science China Press
0001527X,1734154X,Acta Biochimica Polonica,Active,,Journal,,,,,,Frontiers Media SA
7175906,1726569X,Acta Bioethica,Active,,Journal,,,,,,Universidad de Chile - Centro Interdisciplinario de Estudios en Bioetica
0120548X,19001649,Acta Biologica Colombiana,Active,,Journal,,,,,,Universidad Nacional de Colombia
15296,18980295,Acta Biologica Cracoviensia Series Botanica,Active,,Journal,,,,,,"Polish Academy of Sciences, Biological Commission"
,24121908,Acta Biologica Sibirica,Active,,Journal,,,,,,Altai State University
1588385X,15884082,Acta Biologica Szegediensis,Active,,Journal,,,,,,University of Szeged
17427061,18787568,Acta Biomaterialia,Active,,Journal,,,,,,Acta Materialia Inc
3924203,25316745,Acta Biomedica,Active,,Journal,,,,,,Mattioli 1885
25419420,25879596,Acta Biomedica Scientifica,Active,,Journal,,,,,,Scientific Centre for Family Health and Human Reproduction Problems
15342,15728358,Acta Biotheoretica,Active,,Journal,,,,,,Springer Netherlands
8003831,1503111X,Acta Borealia,Active,,Journal,,,,,,Routledge
1023306,,Acta Botanica Brasilica,Active,,Journal,,,,,,Sociedade Botanica de Sao Paulo
3650588,18478476,Acta Botanica Croatica,Active,,Journal,,,,,,University of Zagreb
2366495,15882578,Acta Botanica Hungarica,Active,,Journal,,,,,,Akademiai Kiado
1877151,24487589,Acta Botanica Mexicana,Active,,Journal,,,,,,"Instituto de Ecologia, A.C."
845906,24434264,Acta Botanica Venezuelica,Active,,Journal,,,,,,Universidad Central de Venezuela
15385,1784973X,Acta Cardiologica,Active,,Journal,,,,,,Acta Cardiologica
10116842,,Acta Cardiologica Sinica,Active,,Journal,,,,,,Republic of China Society of Cardiology
5836050,15802612,Acta Carsologica,Active,,Journal,,,,,,"ZRC SAZU, Zalozba ZRC"
5677351,,Acta Chimica Sinica,Active,,Journal,,,,,,Science China Press
13180207,15803155,Acta Chimica Slovenica,Active,,Journal,,,,,,Slovensko Kemijsko Drustvo
15081109,,Acta Chiropterologica,Active,,Journal,,,,,,Museum and Institute of Zoology PAS
15415,,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,Active,,Journal,,,,,,Galen s.r.o.
15423,18054404,Acta Chirurgiae Plasticae,Active,,Journal,,,,,,Galen Prague
15458,,Acta Chirurgica Belgica,Active,,Journal,,,,,,Taylor and Francis Ltd.
12332356,20835736,Acta Chromatographica,Active,,Journal,,,,,,Akademiai Kiado
1028650,,Acta Cirurgica Brasileira,Active,,Journal,,,,,,Sociedade Brasileira para o Desenvolvimento de Pesquisa em Cirurgia
651141,,Acta Classica,Active,,Journal,,,,,,The aim of the Classical Association of South Africa (CASA)
0418453X,27323390,Acta Classica Universitatis Scientiarum Debreceniensis,Active,,Journal,,,,,,"Department of Classical Philology and Ancient History, University of Debrecen"
17843286,22953337,Acta Clinica Belgica,Active,,Journal,,,,,,Taylor and Francis Ltd.
3539466,13339451,Acta Clinica Croatica,Active,,Journal,Formerly known as,"Anali Klinicke Bolnice ""Dr. M. Stojanovic""",,,,Klinicka Bolnica Sestre Milosrdnice
1227262,27730697,Acta Colombiana de Cuidado Intensivo,Active,,Journal,,,,,,Asociacion Colombiana de Medicina Critica y Cuidado lntensivo
1239155,19099711,Acta Colombiana de Psicologia,Active,,Journal,,,,,,Universidad Catolica de Colombia
2315955,,Acta Comeniana,Active,,Journal,,,,,,Academy of Sciences of the Czech Republic
24131903,16841999,Acta Commercii,Active,,Journal,,,,,,AOSIS (Pty) Ltd
1888145,,Acta Comportamentalia,Active,,Journal,,,,,,Universidad Nacional Autonoma de Mexico
,20532733,Acta Crystallographica Section A: Foundations and Advances,Active,,Journal,Formerly known as,Acta Crystallographica Section A: Foundations of Crystallography,,,,John Wiley & Sons Inc.
20525192,20525206,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",Active,,Journal,,,,,,John Wiley & Sons Inc.
,20597983,Acta Crystallographica Section D: Structural Biology,Active,,Journal,Formerly known as,Acta Crystallographica Section D: Biological Crystallography,,,,John Wiley & Sons Inc.
,20569890,Acta Crystallographica Section E: Crystallographic Communications,Active,,Journal,,,,,,International Union of Crystallography
,2053230X,Acta Crystallographica Section F:Structural Biology Communications,Active,,Journal,Formerly known as,Acta Crystallographica Section F: Structural Biology and Crystallization Communications,,,,John Wiley and Sons Ltd
,20532296,"Acta crystallographica. Section C, Structural chemistry",Active,,Journal,,,,,,John Wiley & Sons Inc.
0324721X,,Acta Cybernetica,Active,,Journal,,,,,,"University of Szeged, Institute of Informatics"
15547,19382650,Acta Cytologica,Active,,Journal,,,,,,S. Karger AG
15555,16512057,Acta Dermato-Venereologica,Active,,Journal,,,,,,Medical Journals Sweden AB
13184458,15812979,"Acta Dermatovenerologica Alpina, Panonica et Adriatica",Active,,Journal,Formerly known as,Acta Dermatovenerologica Iugoslavica,,,,Slovenian Medical Society
1330027X,,Acta Dermatovenerologica Croatica,Active,,Journal,,,,,,Croatian Dermatovenerological Society
9405429,14325233,Acta Diabetologica,Active,,Journal,Formerly known as,Acta Diabetologica Latina,,,,Springer-Verlag Italia s.r.l.
,25358219,Acta Didactica Norden,Active,,Journal,Formerly known as,Acta Didactica Norge,,,,Universitetet i Oslo
